nombre,descripcion,precio
Ceviche de Chicharrón,Crocantes lonjas de chicharrón acompañadas de finas julianas de cebolla roja y blanca con limón y pimienta.,21.900
Wontons de Lomo Saltado (6 unds),Pasta oriental rellena con nuestro típico lomito saltado.,22.900
Empanaditas (5 unds),Tradicionales muy crocantes ideales para picar.,10.900
Queso AN ́K,Queso papialpa a la parrilla con salsa agridulce de la casa.,19.900
Timbal de Carne,"Finos cubos de solomito bañados en reducción de balsámico, crema de leche y ají amarillo poco picante, tomate, champiñones finamente picados y papa criolla con parmesano.",19.900
Nachos AN ́K,"Arepitas crocantes con queso holandés, pico de gallo, fríjoles refritos, salsa siracha y sour cream.",23.900
Chorizo AN ́K,Chorizo parrillero Argentino acompañado de arepa y papa crocante AN ́K.,15.900
Carpaccio Certified Angus Beef,"Finas lonjas de solomito Certified Angus Beef,® parmesano, alcaparras, aceite de oliva, balsámico, sal de mar, pimienta y limón.",23.900
￼Carpaccio Italiano,"Finas lonjas de solomito marinadas en limón, parmesano, aceite de oliva, balsámico,sal marina, pimienta, limón y alcaparras fritas.",19.900
